IEA Region,Sector,Metric,Scenario,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
EURASIA ,Buildings,Traditional biomass,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
EURASIA ,Buildings,Other renewables,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
EURASIA ,Industry,Other,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURASIA ,Other,Petrochem. feedstock,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TPED,Total primary demand,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TPED,Coal,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TPED,Oil,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TPED,Natural gas,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TPED,Nuclear,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TPED,Hydro,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TPED,Bioenergy,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TPED,Other renewables,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Power sector,Power sector,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Power sector,Coal,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Power sector,Oil,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Power sector,Natural gas,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Power sector,Nuclear,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Power sector,Hydro,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Power sector,Bioenergy,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Power sector,Other renewables,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Other energy sector,Other energy sector,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Other energy sector,Electricity,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TFC,Total final consumption,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TFC,Coal,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TFC,Oil,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TFC,Natural gas,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TFC,Electricity,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TFC,Heat,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TFC,Bioenergy,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,TFC,Other renewables,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Industry,Industry,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Industry,Coal,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Industry,Oil,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Industry,Natural gas,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Industry,Electricity,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Industry,Heat,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Industry,Bioenergy,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Industry,Other renewables,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Transport,Transport,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Transport,Oil,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Transport,International bunkers,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Transport,Electricity,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Transport,Bioenergy,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Transport,Other fuels,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Buildings,Buildings,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Buildings,Coal,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
RUS ,Buildings,Oil,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
RUS ,Buildings,Natural gas,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
RUS ,Buildings,Electricity,pathway,,,,,,,,,,,,0.013941832253,0.014417207943,0.0149046168194,0.0156583331385,0.0164391510055,0.0172469431003,0.0178003405641,0.0183655165287,0.0192350762261,0.020130296009,0.021050494055,0.0216774365507,0.0223148404322,0.0232898844737,0.0242866220131,0.025303764687,0.0259924985381,0.0266892175035,0.0277482145949,0.0288223822073,0.0299098970206,0.0306413766232,0.03137734473,0.0324883827822,0.0336060525423,0.0347282026856,0.0354777131913,0.0362275907787,0.0373516646023,0.0384728913817,0.039589092099,0.0403293747973,0.0410658504281,0.0421620995004,0.0432464306679,0.0443169457456,0.0450220550958,0.0457197181082,0.0467512040235,0.0477633372356,0.0487547279985,0.0494035067546,0.0500421693986,0.0509805265596,0.0518945065438,0.0527833235489,0.0533615635797,0.053928171472,0.0547559913243,0.0555570092877,0.0563310100753,0.0568319477822,0.0573208299058,0.0580315952498,0.058715426986,0.0593725607438,0.059795971729,0.0602077698729,0.0608039733926,0.0613748147674,0.0619208284117,0.0622713300741,0.0626112378636,0.0631016529586,0.0635693260697,0.064014947753,0.0643001278305,0.064576036072,0.0649729860497,0.0653502933384,0.065708693714,0.0659374862965,0.0661584188576,0.0664755503713,0.0667761990035,0.0670610718371,0.0672425658305,0.0674175586751,0.0676682915869,0.0679054980489
RUS ,Buildings,Heat,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
RUS ,Buildings,Bioenergy,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
RUS ,Buildings,Traditional biomass,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
RUS ,Buildings,Other renewables,pathway,,,,,,,,,,,,-0.0235982104987,-0.0250471187231,-0.0265798011888,-0.0282004507607,-0.0299133888272,-0.0317230585365,-0.0336340162858,-0.0356509212914,-0.0377785230615,-0.0400216465976,-0.0423851751496,-0.0448740303574,-0.0474931496244,-0.0502474605835,-0.0531418525372,-0.0561811447855,-0.0593700517882,-0.0627131451525,-0.0662148124904,-0.0698792132472,-0.0737102316731,-0.0777114271848,-0.0818859824482,-0.0862366496021,-0.0907656951374,-0.0954748440448,-0.100365223939,-0.105437309964,-0.110690871372,-0.116124920751,-0.121737666925,-0.127526472629,-0.13348781805,-0.139617271338,-0.145909467172,-0.152358094375,-0.158955893484,-0.16569466506,-0.172565289323,-0.179557757524,-0.18666121523,-0.193864017428,-0.201153795118,-0.208517532769,-0.215941655756,-0.223412126626,-0.230914548821,-0.23843427626,-0.245956527055,-0.253466499474,-0.260949488242,-0.268390999233,-0.275776860666,-0.283093329007,-0.290327187948,-0.297465838989,-0.304497382408,-0.311410687636,-0.318195452333,-0.324842249722,-0.331342564003,-0.337688813966,-0.343874365091,-0.349893530703,-0.355741562885,-0.361414634012,-0.366909809895,-0.372225015571,-0.377358994849,-0.382311264721,-0.387082065712,-0.39167230926,-0.396083523076,-0.400317795448,-0.40437771929,-0.408266336702,-0.411987084673,-0.415543742476,-0.418940381214,-0.42
RUS ,Industry,Other,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS ,Other,Petrochem. feedstock,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,TPED,Total primary demand,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,TPED,Coal,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,TPED,Oil,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,TPED,Natural gas,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,TPED,Nuclear,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,TPED,Hydro,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,TPED,Bioenergy,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,TPED,Other renewables,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,Power sector,Power sector,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,Power sector,Coal,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,Power sector,Oil,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,Power sector,Natural gas,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,Power sector,Nuclear,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,Power sector,Hydro,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,Power sector,Bioenergy,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIAPAC ,Power sector,Other renewables,pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
